"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045229","GO:0045229","external encapsulating structure organization","188/5716","317/18614",2.72479162519831e-26,1.22584593277559e-22,8.42449247080616e-23,"CFLAR/PHLDB1/TNFRSF1B/TLL1/ADAMTS6/ELN/FOXC1/COL11A1/COL17A1/TIE1/TNFRSF1A/BCL3/NTN4/FSCN1/NFKB2/FBLN1/ITGA8/FAP/COL5A3/CPB2/COL19A1/COL16A1/B4GALT1/ADAMTS2/MMP2/NID2/KIF9/LAMB1/CCDC80/TGM1/COL9A3/TGFB2/MMP11/FERMT1/CST3/LAMA1/MMP15/CRISPLD2/ERCC2/APLP1/COMP/CAV2/CAV1/PLOD3/AEBP1/TGFBR1/ECM2/ENG/RIC1/COL1A1/VTN/COL12A1/ADTRP/SMOC2/IMPG1/LOX/NPHP3/COL7A1/LOXL3/QSOX1/NID1/MMP8/CCN2/TGFBI/FMOD/SERAC1/RECK/P4HA1/MMP19/LRP1/SOX9/MMP24/LOXL1/COLGALT1/PXDN/COL5A1/POMT1/RAMP2/MATN3/MATN2/POSTN/MYH11/LOXL2/PDGFRA/COL4A2/ADAMTS8/AGT/LAMC1/LCP1/IL6/ADAMTS7/CTSV/FOXF2/SULF1/MMP13/ADAM10/CYP1B1/EMILIN1/LOXL4/ADAMTS14/PRDM5/SLC39A8/PRICKLE1/COL2A1/LUM/FBLN5/FURIN/P3H4/FKBP10/CCN1/DPT/HMCN1/ADAMTSL4/ADAM15/COL8A1/PHLDB2/SFRP2/SERPINH1/MMP3/ITGB1/ADAMTS12/ABI3BP/ADAMTS1/MMP16/ADAMTS3/MMP14/MYO1E/CREB3L1/ADAMTS4/RUNX1/MPZL3/FGFR4/MATN1/OLFML2B/CTSS/PBXIP1/ADAMTS9/PTX3/MELTF/COL1A2/TNFRSF11B/ATP7A/ADAMTS15/SPINT1/GREM1/SMAD3/SPINT2/TNXB/BMP1/COL3A1/AXIN2/NPNT/COL22A1/COL8A2/LAMB2/TPSAB1/EFEMP2/FOXC2/RIC8A/VWA1/EXT1/ANXA2/COL18A1/GAS6/WT1/FLRT2/OLFML2A/COL4A1/THSD4/SULF2/LAMA2/MMP1/COL27A1/COL13A1/SLC2A10/HRNR/ERO1A/MMP17/EGFL6/COL5A2/COL15A1/DDR1/VIT/ZNF469/TNF/ITGB3/SCX/MMP12",188
"GO:0061564","GO:0061564","axon development","257/5716","479/18614",3.81289559183699e-26,1.22584593277559e-22,8.42449247080616e-23,"PLXND1/ARX/ETV1/IFRD1/CDKL3/FYN/ANOS1/SEMA3B/ISL1/SPAST/NRXN3/GRN/VCL/TRIO/RTN4R/TNC/CTNNA1/FSTL4/CYFIP2/NGFR/NTN1/NEO1/PICALM/NOTCH3/SEMA3A/SEMA3C/PLXNA2/USP33/EDN1/NRDC/PSEN1/SEMA5B/APLP2/IGSF9/CTTN/MMP2/EFNB1/NRCAM/SEMA6A/NRP1/EFNA2/NEFH/TSPO/MCF2/METRN/NOVA2/NUMBL/APLP1/RAB3A/MAG/SCN1B/DLX5/PTN/HOXA2/LIMK1/LHX3/DVL1/GATA3/CXCL12/PPP3CB/WNT3/CNTNAP1/RND2/EFNB3/FOLR1/NECTIN1/UST/VEGFA/SEMA5A/UNC5A/WNT5A/PLXNA1/CSPG5/ITGA4/RTN4/FN1/STK25/EPHA4/DOCK7/ECE1/ARTN/PLPPR4/STMN1/NRP2/KLF7/B4GALT6/SPP1/LHX4/SLITRK3/EGR2/PARD6B/VASP/EDN2/BCL11B/MACF1/FEZF1/PALLD/FGF13/APOE/MAP1S/OLFM1/PLXNA3/MAP1B/LGR6/DCLK1/SPART/NUMB/CNTN6/TSPAN2/NOTCH2/NGF/LRP4/EPHA7/SEMA4F/PLXNC1/KLF4/NIBAN2/STXBP1/KIAA0319/MGARP/SEMA6D/MYPN/SEMA7A/BMPR1B/PRICKLE1/IGF1R/ARK2C/ERBB2/LMO4/BARHL2/CRABP2/LHX9/SEMA6C/EFNA3/GDF7/GOLGA4/BOC/EPHA5/TNFRSF21/NFIB/HMCN2/PARD3/VAX1/LRRC4C/PAK1/NCAM1/CNTN5/ITGB1/PTPRO/EDNRA/POU4F1/NR4A2/PLEKHG4B/SEMA3D/ROBO4/ROBO3/ENAH/CHODL/NCAM2/WNT7A/TIAM1/DPYSL5/NPR2/KALRN/BRSK1/CHRNB2/NTN3/DRAXIN/NEXN/DISC1/CCKAR/NFASC/NKX6-1/PLXNB1/CASP3/CDK5/SLITRK5/OTX2/DRGX/RET/APBB1/NDEL1/ISLR2/KIF5C/GBX2/GDNF/SHOX2/MAP2K1/EFNA1/ALCAM/B3GNT2/SEMA3E/CDH2/EMB/FEZ2/NPTX1/MAP6/GAP43/LAMB2/RAPH1/DAB1/BRSK2/B4GAT1/FOXG1/BDNF/JUN/SVBP/ADGRB1/UNC5C/EXT1/CSF1R/EPHB3/NOG/KREMEN1/EFNA5/POU3F2/SLITRK6/SEMA4B/FLRT2/PRKG1/PTCH1/RTN4RL1/SLITRK2/MAPT/RTN4RL2/CCK/SLIT1/DCC/SEMA4D/RELN/APOD/PLEKHG4/NLGN3/NTNG2/PLXNB2/FLNA/SYNGAP1/ADARB1/SIPA1L1/S100A6/SZT2/NTRK1/ATL1/SMURF1/PLXNB3/L1CAM/GDI1/DDR1/MIR221/CRPPA/PLXNA4/DHFR/CNTF/TWF2/FOXD1/TUBB3/NEFL",257
"GO:0030198","GO:0030198","extracellular matrix organization","186/5716","314/18614",6.15376390678456e-26,1.31895673068749e-22,9.06438627392337e-23,"CFLAR/PHLDB1/TNFRSF1B/TLL1/ADAMTS6/ELN/FOXC1/COL11A1/COL17A1/TIE1/TNFRSF1A/BCL3/NTN4/FSCN1/NFKB2/FBLN1/ITGA8/FAP/COL5A3/CPB2/COL19A1/COL16A1/B4GALT1/ADAMTS2/MMP2/NID2/KIF9/LAMB1/CCDC80/COL9A3/TGFB2/MMP11/FERMT1/CST3/LAMA1/MMP15/CRISPLD2/ERCC2/APLP1/COMP/CAV2/CAV1/PLOD3/AEBP1/TGFBR1/ECM2/ENG/RIC1/COL1A1/VTN/COL12A1/ADTRP/SMOC2/IMPG1/LOX/NPHP3/COL7A1/LOXL3/QSOX1/NID1/MMP8/CCN2/TGFBI/FMOD/SERAC1/RECK/P4HA1/MMP19/LRP1/SOX9/MMP24/LOXL1/COLGALT1/PXDN/COL5A1/POMT1/RAMP2/MATN3/MATN2/POSTN/MYH11/LOXL2/PDGFRA/COL4A2/ADAMTS8/AGT/LAMC1/LCP1/IL6/ADAMTS7/CTSV/FOXF2/SULF1/MMP13/ADAM10/CYP1B1/EMILIN1/LOXL4/ADAMTS14/PRDM5/SLC39A8/PRICKLE1/COL2A1/LUM/FBLN5/FURIN/P3H4/FKBP10/CCN1/DPT/HMCN1/ADAMTSL4/ADAM15/COL8A1/PHLDB2/SFRP2/SERPINH1/MMP3/ITGB1/ADAMTS12/ABI3BP/ADAMTS1/MMP16/ADAMTS3/MMP14/MYO1E/CREB3L1/ADAMTS4/RUNX1/MPZL3/FGFR4/MATN1/OLFML2B/CTSS/PBXIP1/ADAMTS9/PTX3/MELTF/COL1A2/TNFRSF11B/ATP7A/ADAMTS15/SPINT1/GREM1/SMAD3/SPINT2/TNXB/BMP1/COL3A1/AXIN2/NPNT/COL22A1/COL8A2/LAMB2/TPSAB1/EFEMP2/FOXC2/RIC8A/VWA1/EXT1/ANXA2/COL18A1/GAS6/WT1/FLRT2/OLFML2A/COL4A1/THSD4/SULF2/LAMA2/MMP1/COL27A1/COL13A1/SLC2A10/ERO1A/MMP17/EGFL6/COL5A2/COL15A1/DDR1/VIT/ZNF469/TNF/ITGB3/SCX/MMP12",186
"GO:0043062","GO:0043062","extracellular structure organization","186/5716","315/18614",1.05203374587725e-25,1.69114424649768e-22,1.1622204382086e-22,"CFLAR/PHLDB1/TNFRSF1B/TLL1/ADAMTS6/ELN/FOXC1/COL11A1/COL17A1/TIE1/TNFRSF1A/BCL3/NTN4/FSCN1/NFKB2/FBLN1/ITGA8/FAP/COL5A3/CPB2/COL19A1/COL16A1/B4GALT1/ADAMTS2/MMP2/NID2/KIF9/LAMB1/CCDC80/COL9A3/TGFB2/MMP11/FERMT1/CST3/LAMA1/MMP15/CRISPLD2/ERCC2/APLP1/COMP/CAV2/CAV1/PLOD3/AEBP1/TGFBR1/ECM2/ENG/RIC1/COL1A1/VTN/COL12A1/ADTRP/SMOC2/IMPG1/LOX/NPHP3/COL7A1/LOXL3/QSOX1/NID1/MMP8/CCN2/TGFBI/FMOD/SERAC1/RECK/P4HA1/MMP19/LRP1/SOX9/MMP24/LOXL1/COLGALT1/PXDN/COL5A1/POMT1/RAMP2/MATN3/MATN2/POSTN/MYH11/LOXL2/PDGFRA/COL4A2/ADAMTS8/AGT/LAMC1/LCP1/IL6/ADAMTS7/CTSV/FOXF2/SULF1/MMP13/ADAM10/CYP1B1/EMILIN1/LOXL4/ADAMTS14/PRDM5/SLC39A8/PRICKLE1/COL2A1/LUM/FBLN5/FURIN/P3H4/FKBP10/CCN1/DPT/HMCN1/ADAMTSL4/ADAM15/COL8A1/PHLDB2/SFRP2/SERPINH1/MMP3/ITGB1/ADAMTS12/ABI3BP/ADAMTS1/MMP16/ADAMTS3/MMP14/MYO1E/CREB3L1/ADAMTS4/RUNX1/MPZL3/FGFR4/MATN1/OLFML2B/CTSS/PBXIP1/ADAMTS9/PTX3/MELTF/COL1A2/TNFRSF11B/ATP7A/ADAMTS15/SPINT1/GREM1/SMAD3/SPINT2/TNXB/BMP1/COL3A1/AXIN2/NPNT/COL22A1/COL8A2/LAMB2/TPSAB1/EFEMP2/FOXC2/RIC8A/VWA1/EXT1/ANXA2/COL18A1/GAS6/WT1/FLRT2/OLFML2A/COL4A1/THSD4/SULF2/LAMA2/MMP1/COL27A1/COL13A1/SLC2A10/ERO1A/MMP17/EGFL6/COL5A2/COL15A1/DDR1/VIT/ZNF469/TNF/ITGB3/SCX/MMP12",186
"GO:0007409","GO:0007409","axonogenesis","232/5716","427/18614",1.08205470673295e-24,1.39152235285858e-21,9.56308559761038e-22,"PLXND1/ARX/ETV1/IFRD1/CDKL3/FYN/ANOS1/SEMA3B/ISL1/SPAST/NRXN3/VCL/TRIO/RTN4R/FSTL4/CYFIP2/NGFR/NTN1/NEO1/PICALM/NOTCH3/SEMA3A/SEMA3C/PLXNA2/USP33/EDN1/NRDC/PSEN1/SEMA5B/APLP2/IGSF9/CTTN/EFNB1/NRCAM/SEMA6A/NRP1/EFNA2/NEFH/MCF2/METRN/NOVA2/NUMBL/APLP1/RAB3A/MAG/SCN1B/DLX5/HOXA2/LIMK1/LHX3/DVL1/GATA3/CXCL12/PPP3CB/WNT3/CNTNAP1/RND2/EFNB3/NECTIN1/UST/VEGFA/SEMA5A/UNC5A/WNT5A/PLXNA1/ITGA4/RTN4/FN1/STK25/EPHA4/DOCK7/ECE1/ARTN/PLPPR4/STMN1/NRP2/KLF7/B4GALT6/SPP1/LHX4/SLITRK3/EGR2/PARD6B/VASP/EDN2/BCL11B/MACF1/FEZF1/PALLD/FGF13/APOE/MAP1S/OLFM1/PLXNA3/MAP1B/LGR6/DCLK1/SPART/NUMB/CNTN6/NOTCH2/NGF/LRP4/EPHA7/SEMA4F/PLXNC1/NIBAN2/STXBP1/KIAA0319/SEMA6D/MYPN/SEMA7A/BMPR1B/PRICKLE1/IGF1R/ARK2C/ERBB2/LMO4/BARHL2/CRABP2/LHX9/SEMA6C/EFNA3/GDF7/GOLGA4/BOC/EPHA5/NFIB/HMCN2/PARD3/VAX1/LRRC4C/PAK1/NCAM1/CNTN5/ITGB1/PTPRO/EDNRA/POU4F1/NR4A2/PLEKHG4B/SEMA3D/ROBO4/ROBO3/ENAH/CHODL/WNT7A/TIAM1/DPYSL5/NPR2/KALRN/BRSK1/CHRNB2/NTN3/DRAXIN/NEXN/DISC1/CCKAR/NFASC/NKX6-1/PLXNB1/CDK5/SLITRK5/OTX2/DRGX/RET/APBB1/NDEL1/ISLR2/KIF5C/GBX2/GDNF/SHOX2/MAP2K1/EFNA1/ALCAM/B3GNT2/SEMA3E/CDH2/EMB/FEZ2/NPTX1/MAP6/GAP43/LAMB2/RAPH1/DAB1/BRSK2/B4GAT1/FOXG1/BDNF/ADGRB1/UNC5C/EXT1/CSF1R/EPHB3/NOG/EFNA5/POU3F2/SLITRK6/SEMA4B/FLRT2/PRKG1/PTCH1/SLITRK2/MAPT/CCK/SLIT1/DCC/SEMA4D/RELN/PLEKHG4/NLGN3/NTNG2/PLXNB2/SYNGAP1/ADARB1/SIPA1L1/S100A6/SZT2/NTRK1/ATL1/SMURF1/PLXNB3/L1CAM/GDI1/CRPPA/PLXNA4/TWF2/FOXD1/TUBB3/NEFL",232
"GO:0031589","GO:0031589","cell-substrate adhesion","196/5716","359/18614",2.25942133164388e-21,2.42134652707836e-18,1.66404399127035e-18,"ITGA3/ITGA2B/CX3CL1/PKD1/CD44/VCL/NEXMIF/PKP2/COL17A1/ROCK1/CDC42/ACTN1/LIMS2/FERMT2/ST6GAL1/NTN4/ACTN2/FBLN1/ITGA8/COL5A3/ITGB5/COL16A1/CTTN/CEACAM6/FAT2/NID2/PXN/LAMB1/ITGA6/ANGPT2/CCDC80/SORBS1/NRP1/TRIOBP/PDGFB/STK4/FERMT1/JAG1/MSLN/CORO2B/SFRP1/CDK6/ITGB8/SERPINE1/ECM2/KANK1/TESK1/C1QBP/COL1A1/VTN/BST1/LPXN/MDK/VWF/CORO1C/GCNT2/NEDD9/PPARD/BVES/VEGFA/CSPG5/ITGA4/FN1/NID1/GBP1/APOA1/KIF14/CCN2/ONECUT2/TEK/NPY/PLAU/PREX1/SDC4/CCR7/RRAS/MACF1/SGCE/KDR/RAC2/HOXD3/ATP1B2/ACTN4/LAMA5/ITGB4/RIN2/LYVE1/CD63/LAMC1/THSD1/MYO1G/TLN1/THBS1/ITGA11/RAB1A/EMILIN1/ITGAV/PARVG/PPFIA2/ACVRL1/FBLN5/CDH13/CCN1/ITGA10/ADAM15/ITGA9/COL8A1/PHLDB2/RASA1/EPHA1/DOCK5/RSU1/PTPRJ/FERMT3/ITGB1/ADAMTS12/FER/PTPRO/SPOCK1/DAB2/ABI3BP/ANGPT1/FZD7/TIAM1/MMP14/RADIL/EDA/ZYX/ITGB2/COL26A1/ITGA5/VCAM1/SNED1/DISC1/ARPC2/FBLN2/ADAMTS9/MELTF/ITGA2/EDIL3/RELL2/DLC1/MICALL2/CDK5/FREM1/ILK/GREM1/SMAD3/AXL/DAPK3/TNXB/COL3A1/ADAM9/NPNT/THBS3/EFNA1/LIMS1/ITGAM/SEMA3E/PRKCE/EFEMP2/RHOD/CD34/CALR/MYADM/EPHB3/GAS6/ACTG1/TACSTD2/EFNA5/CSF1/CIB1/P4HB/NF2/BCR/BCAM/SPRY4/PARVB/APOD/AJAP1/FLNA/SRC/COL13A1/PARVA/S100A10/ITGBL1/EGFL6/L1CAM/DDR1/VIT/MIR503/ITGA1/STON1/FMN1/ITGB3/MMP12",196
"GO:0007411","GO:0007411","axon guidance","133/5716","225/18614",8.13442556648235e-19,6.53804454906019e-16,4.49319980632801e-16,"PLXND1/ARX/ETV1/FYN/ANOS1/SEMA3B/ISL1/NRXN3/TRIO/CYFIP2/NGFR/NTN1/NEO1/NOTCH3/SEMA3A/SEMA3C/PLXNA2/USP33/EDN1/SEMA5B/IGSF9/EFNB1/NRCAM/SEMA6A/NRP1/EFNA2/NOVA2/SCN1B/DLX5/HOXA2/LHX3/DVL1/GATA3/CXCL12/WNT3/EFNB3/NECTIN1/VEGFA/SEMA5A/UNC5A/WNT5A/PLXNA1/EPHA4/ECE1/ARTN/NRP2/KLF7/LHX4/EGR2/VASP/BCL11B/FEZF1/PALLD/PLXNA3/LGR6/CNTN6/NOTCH2/EPHA7/SEMA4F/PLXNC1/NIBAN2/SEMA6D/MYPN/SEMA7A/BMPR1B/ARK2C/ERBB2/LMO4/LHX9/SEMA6C/EFNA3/GDF7/BOC/EPHA5/NFIB/HMCN2/VAX1/NCAM1/CNTN5/PTPRO/EDNRA/PLEKHG4B/SEMA3D/ROBO4/ROBO3/ENAH/DPYSL5/KALRN/NTN3/DRAXIN/NEXN/NFASC/PLXNB1/CDK5/OTX2/DRGX/RET/KIF5C/GBX2/GDNF/EFNA1/ALCAM/B3GNT2/SEMA3E/EMB/FEZ2/GAP43/LAMB2/B4GAT1/FOXG1/BDNF/UNC5C/EXT1/CSF1R/EPHB3/NOG/EFNA5/SEMA4B/FLRT2/PTCH1/SLIT1/DCC/SEMA4D/RELN/PLEKHG4/PLXNB2/NTRK1/PLXNB3/L1CAM/CRPPA/PLXNA4/FOXD1/TUBB3",133
"GO:0097485","GO:0097485","neuron projection guidance","133/5716","225/18614",8.13442556648235e-19,6.53804454906019e-16,4.49319980632801e-16,"PLXND1/ARX/ETV1/FYN/ANOS1/SEMA3B/ISL1/NRXN3/TRIO/CYFIP2/NGFR/NTN1/NEO1/NOTCH3/SEMA3A/SEMA3C/PLXNA2/USP33/EDN1/SEMA5B/IGSF9/EFNB1/NRCAM/SEMA6A/NRP1/EFNA2/NOVA2/SCN1B/DLX5/HOXA2/LHX3/DVL1/GATA3/CXCL12/WNT3/EFNB3/NECTIN1/VEGFA/SEMA5A/UNC5A/WNT5A/PLXNA1/EPHA4/ECE1/ARTN/NRP2/KLF7/LHX4/EGR2/VASP/BCL11B/FEZF1/PALLD/PLXNA3/LGR6/CNTN6/NOTCH2/EPHA7/SEMA4F/PLXNC1/NIBAN2/SEMA6D/MYPN/SEMA7A/BMPR1B/ARK2C/ERBB2/LMO4/LHX9/SEMA6C/EFNA3/GDF7/BOC/EPHA5/NFIB/HMCN2/VAX1/NCAM1/CNTN5/PTPRO/EDNRA/PLEKHG4B/SEMA3D/ROBO4/ROBO3/ENAH/DPYSL5/KALRN/NTN3/DRAXIN/NEXN/NFASC/PLXNB1/CDK5/OTX2/DRGX/RET/KIF5C/GBX2/GDNF/EFNA1/ALCAM/B3GNT2/SEMA3E/EMB/FEZ2/GAP43/LAMB2/B4GAT1/FOXG1/BDNF/UNC5C/EXT1/CSF1R/EPHB3/NOG/EFNA5/SEMA4B/FLRT2/PTCH1/SLIT1/DCC/SEMA4D/RELN/PLEKHG4/PLXNB2/NTRK1/PLXNB3/L1CAM/CRPPA/PLXNA4/FOXD1/TUBB3",133
"GO:0090066","GO:0090066","regulation of anatomical structure size","241/5716","492/18614",7.33298761353079e-18,5.239012261667e-15,3.60045403527512e-15,"BAIAP2L1/TBXA2R/IFRD1/CDKL3/TENM1/PIK3C2A/SEMA3B/ATP1A2/TMSB10/RTN4R/ADRB1/UTS2/ELN/LIMA1/FSTL4/FOXC1/CYFIP2/TBXAS1/NTN1/ROCK1/PFN2/SPTB/ATP2B1/NCK2/WDR1/PTGS2/PICALM/SEMA3A/SEMA3C/ADD2/ACTN2/CAPZB/EDN1/SEMA5B/SSH1/CTTN/PPP1R15A/MMP2/P2RX7/NOS1/NRCAM/SEMA6A/MYO3A/NRP1/TRIOBP/RIN3/SNTA1/COTL1/KCNN4/COMP/MAG/CAV1/PLOD3/LIMK1/KANK1/CXCL12/WNT3/P2RX1/PFN1/ASIC2/RND2/NHERF1/SOD3/PPARD/VEGFA/SEMA5A/SLC12A7/HRH2/WNT5A/SPTBN1/RTN4/TACR1/FN1/RGS2/AKT3/ECE1/SPP1/PLS1/ADRA1A/NPPB/SCPEP1/NCKAP1L/SLC12A4/SLC12A5/VASP/DSTN/CCR7/AVPR2/EDN2/KLF2/MACF1/BAIAP2L2/TMOD2/FGF13/APOE/SNX9/OLFM1/HIP1R/PLXNA3/MAP1B/GCH1/PER2/RAP1GAP2/SPART/NTS/SWAP70/VAV3/NGF/EPHA7/BLOC1S1/SEMA4F/KCNMB4/AGT/EDNRB/BIN1/LRRC8A/KIAA0319/SEMA6D/SPTBN5/SEMA7A/RAP1GDS1/BBS4/SSH2/VAV1/BARHL2/CRABP2/SEMA6C/SNAPIN/HAX1/RAB5A/GRIP2/GOLGA4/AGTR1/RASA1/DAAM2/ARHGAP18/DOCK5/GSN/HTR7/ADM/CDC42EP2/EXT2/FER/EPS8/EDNRA/PLEKHH2/SEMA3D/WNT7A/DEPTOR/KCNMA1/TMSB15A/TMSB15B/ATP13A2/ACE/VAV2/AP2M1/DRAXIN/DISC1/TMOD4/LMOD1/ARPC2/ADORA1/NKX6-1/PRKCD/GUCY1A1/F2RL1/GPER1/NOS3/CDK5/ATP7A/CFL2/ARF6/VSTM4/RET/ARHGAP42/BORCS7/PEX11A/ISLR2/RILP/BDKRB2/SCNN1B/IL7R/RAB3B/ADRB2/NPR1/P2RY1/SEMA3E/ADORA2B/LRRC8E/PRKCE/RARG/SSH3/ADCY6/ZDHHC21/FOXC2/BDNF/ANO6/FLII/HTR1D/MYADM/OXTR/F2R/EXT1/NEB/ADRA2C/EFNA5/PLA2G6/PRR16/SEMA4B/PRKG1/MAPT/SLIT1/DCC/SEMA4D/WNT7B/ADRB3/BORCS6/WNK3/HRH1/SVIL/CYRIA/FCHSD1/SMURF1/CAPZA2/L1CAM/GDI1/TMSB4X/ITGA1/SMTNL1/PLXNA4/SLC12A8/TNF/AQP1/PDXP/TWF2/FMN1/SHANK3/GJA5/TMSB15C/ADRA2B/NEFL",241
"GO:0045785","GO:0045785","positive regulation of cell adhesion","235/5716","482/18614",3.84796187510002e-17,2.47423948568931e-14,1.70039410017578e-14,"BAD/ITGA3/CX3CL1/CYTH3/FYN/PLAUR/IGF1/CD44/KITLG/ROCK1/FSTL3/CDC42/NCK2/LIMS2/FERMT2/ACTB/KIFAP3/PTPN23/IL4R/APBB1IP/PTPRC/COL16A1/CEACAM6/CHRD/EFNB1/LAMB1/CCDC80/TGFB2/DHPS/EPB41L4B/IFT74/NRP1/LGALS1/TRIOBP/XBP1/PDGFB/STK4/SIRPB1/FERMT1/SMAD7/LAMA1/TNFSF13B/PIEZO1/STX4/CD276/TJP1/RIPK2/SFRP1/IL7/LILRB1/RASAL3/EBI3/CDK6/CAV1/ECM2/TESK1/SHB/GATA3/CXCL12/VSIR/MAP3K8/C1QBP/CCL2/EFNB3/VTN/ZBTB16/ST3GAL4/MDK/CD81/GCNT2/NEDD9/CD83/VEGFA/WNT5A/HES1/CSPG5/IL1A/ZAP70/ITGA4/FN1/IGFBP2/EPHA4/NID1/SLAMF1/TNFSF4/ARID1A/APOA1/NR4A3/GPAM/TEK/CD274/TNFSF18/NPY/NCKAP1L/PREX1/SDC4/IL1B/TNFSF9/CD70/CCR7/RRAS/KDR/LIF/PODXL/FOXA1/AFDN/FCHO1/EMILIN2/RIN2/DUSP26/VAV3/PTPN22/IL6ST/ETS1/ANXA1/ADAM19/LAMC1/IL6/HLX/EMILIN1/ITGAV/MMRN1/LEF1/SLC7A1/TPM1/CDH13/ERBB2/VAV1/AKT1/BCL10/CCN1/ABL2/SOX13/NFKBIZ/COL8A1/SFRP2/MYO10/MEGF10/EPHA1/DOCK5/RSU1/PTPRJ/IL18/MAGI1/DAB2/ABI3BP/ANGPT1/PRKCA/TNFRSF14/CD1D/RUNX1/TNFRSF13C/ICOSLG/ITGB2/ZBTB7B/COL26A1/ITGA5/PLPP3/VCAM1/KIF26B/DISC1/ARPC2/TGFBR2/FBLN2/PBRM1/IL15/ITGA2/EDIL3/RELL2/RET/ILK/RAG1/STX3/SMAD3/IGF2/RHOH/ADAM9/IL7R/NPNT/IL12A/LIMS1/PRKCE/FRMD5/LAMB2/EFEMP2/RELA/RHOD/SMARCC1/STAT5B/DENND6A/CHST2/FOXC2/SOX12/CALR/EGR3/MYADM/SOX2/IRAK1/CSF1/CIB1/SOCS1/P4HB/TNFRSF18/ZP3/ARID2/HMGB1/CD55/LAMA2/CD47/ADA/FLNA/SRC/PDCD1LG2/S100A10/SIRPA/CARD11/EGFL6/TGM2/AGER/HLA-E/HLA-G/VIT/ADGRG1/MFSD2B/HLA-A/MIR27B/HLA-DPB1/HLA-DPA1/TNF/HLA-DMB/FMN1/LYN/ITGB3/CCL5/CD24",235
